win_rate_diff,win_rate_avg,win_rate_abs_diff,avg_score_diff,avg_score_avg,avg_score_abs_diff,games_played_diff,games_played_avg,games_played_abs_diff,winrate_ratio,avgscore_ratio,team1_higher_winrate,match_winner
0.1,0.15000000000000002,0.1,0.1,0.15000000000000002,0.1,-5.0,7.5,5.0,1.9998000199980002,1.9998000199980002,1,0
,,,,,,,,,,,0,1
,,,,,,,,,,,0,0
,,,,,,,,,,,0,1
0.06700000000000006,0.6335,0.06700000000000006,0.06700000000000006,0.6335,0.06700000000000006,-2.0,4.0,2.0,1.1116481391976802,1.1116481391976802,1,1
0.25,0.125,0.25,0.25,0.125,0.25,4.0,6.0,4.0,24999.999999999996,24999.999999999996,1,0
,,,,,,,,,,,0,0
0.25,0.125,0.25,0.25,0.125,0.25,3.0,2.5,3.0,24999.999999999996,24999.999999999996,1,1
,,,,,,,,,,,0,0
,,,,,,,,,,,0,1
,,,,,,,,,,,0,1
,,,,,,,,,,,0,0
,,,,,,,,,,,0,0
,,,,,,,,,,,0,1
,,,,,,,,,,,0,0
,,,,,,,,,,,0,1
,,,,,,,,,,,0,1
,,,,,,,,,,,0,0
,,,,,,,,,,,0,1
,,,,,,,,,,,0,1
-0.23200000000000004,0.551,0.23200000000000004,-0.23200000000000004,0.551,0.23200000000000004,-10.0,28.0,10.0,0.6521641354702329,0.6521641354702329,0,0
-0.137,0.5985,0.137,-0.137,0.5985,0.137,233.0,149.5,233.0,0.7945907857453411,0.7945907857453411,0,1
,,,,,,,,,,,0,1
,,,,,,,,,,,0,0
-0.132,0.378,0.132,-0.132,0.378,0.132,30.0,33.0,30.0,0.7026868764217021,0.7026868764217021,0,0
0.601,0.3005,0.601,0.601,0.3005,0.601,171.0,87.5,171.0,60099.99999999999,60099.99999999999,1,0
0.013000000000000012,0.5235000000000001,0.013000000000000012,0.013000000000000012,0.5235000000000001,0.013000000000000012,88.0,222.0,88.0,1.0251252393570724,1.0251252393570724,1,0
,,,,,,,,,,,0,0
,,,,,,,,,,,0,1
,,,,,,,,,,,0,1
-1.0,0.5,1.0,-1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0,0
,,,,,,,,,,,0,0
0.48500000000000004,0.4245,0.48500000000000004,0.48500000000000004,0.4245,0.48500000000000004,11.0,27.5,11.0,3.6646338113290478,3.6646338113290478,1,0
-0.75,0.375,0.75,-0.75,0.375,0.75,-3.0,2.5,3.0,0.0,0.0,0,0
,,,,,,,,,,,0,0
,,,,,,,,,,,0,0
-0.467,0.4335,0.467,-0.467,0.4335,0.467,7.0,6.5,7.0,0.29984557952654384,0.29984557952654384,0,0
,,,,,,,,,,,0,0
0.267,0.5335000000000001,0.267,0.267,0.5335000000000001,0.267,2.0,11.0,2.0,1.6674583135421615,1.6674583135421615,1,1
,,,,,,,,,,,0,0
,,,,,,,,,,,0,0
-0.333,0.1665,0.333,-0.333,0.1665,0.333,-2.0,5.0,2.0,0.0,0.0,0,1
,,,,,,,,,,,0,0
,,,,,,,,,,,0,1
,,,,,,,,,,,0,1
0.0,0.333,0.0,0.0,0.333,0.0,0.0,3.0,0.0,0.9999699708717456,0.9999699708717456,0,1
,,,,,,,,,,,0,1
,,,,,,,,,,,0,0
,,,,,,,,,,,0,1
,,,,,,,,,,,0,0
-0.2,0.1,0.2,-0.2,0.1,0.2,-9.0,5.5,9.0,0.0,0.0,0,0
0.2,0.1,0.2,0.2,0.1,0.2,9.0,5.5,9.0,20000.0,20000.0,1,1
,,,,,,,,,,,0,0
,,,,,,,,,,,0,1
,,,,,,,,,,,0,1
-0.08300000000000002,0.2915,0.08300000000000002,-0.08300000000000002,0.2915,0.08300000000000002,-7.0,11.5,7.0,0.7507282063601693,0.7507282063601693,0,1
,,,,,,,,,,,0,1
,,,,,,,,,,,0,1
,,,,,,,,,,,0,0
,,,,,,,,,,,0,0
,,,,,,,,,,,0,0
,,,,,,,,,,,0,0
